Cat,Profile,h,b,tw,tf,r,m,P,A,Iy,iy,Wely,Wply,Iz,iz,Welz,Wplz,IT,WT,Iw,Ww
HEB,HEB220,220,220,9.5,16,18,71.5,1.27,9104,80910000,94.3,735500,827000,28430000,55.9,258500,393900,770200,81070,2.8951E+11,26010000
HEB,HEB240,240,240,10,17,21,83.2,1.384,10599,112600000,103.1,938300,1053000,39230000,60.8,326900,498400,1036000,103600,4.7628E+11,35890000
HEB,HEB260,260,260,10,17.5,24,93,1.499,11844,149200000,112.2,1148000,1283000,51350000,65.8,395000,602200,1257000,125700,7.3628E+11,47140000
HEB,HEB280,280,280,10.5,18,24,103.1,1.618,13136,192700000,121.1,1376000,1534000,65950000,70.9,471000,717600,1453000,138400,1.1072E+12,60840000
HEB,HEB300,300,300,11,19,27,117,1.732,14908,251700000,129.9,1678000,1869000,85630000,75.8,570900,870100,1874000,170400,1.651E+12,79000000
HEB,HEB320,320,300,11.5,20.5,27,126.7,1.771,16134,308200000,138.2,1926000,2149000,92390000,75.7,615900,939100,2292000,199300,2.0262E+12,90900000
HEB,HEB340,340,300,12,21.5,27,134.2,1.81,17090,366600000,146.5,2156000,2408000,96900000,75.3,646000,985700,2620000,218300,2.4056E+12,101500000
HEB,HEB360,360,300,12.5,22.5,27,141.8,1.849,18063,431900000,154.6,2400000,2683000,101400000,74.9,676100,1032000,2979000,238300,2.8293E+12,112600000
HEB,HEB400,400,300,13.5,24,27,155.3,1.927,19778,576800000,170.8,2884000,3232000,108200000,74,721300,1104000,3611000,267500,3.7511E+12,133900000
HEB,HEB450,450,300,14,26,27,171.1,2.026,21798,798900000,191.4,3551000,3982000,117200000,73.3,781400,1198000,4489000,320600,5.1777E+12,163800000
HEB,HEB500,500,300,14.5,28,27,187.3,2.125,23864,1072000000,211.9,4287000,4815000,126200000,72.7,841600,1292000,5499000,379200,6.9207E+12,196600000
HEB,HEB550,550,300,15,29,27,199.4,2.224,25406,1367000000,232,4971000,5591000,130800000,71.7,871800,1341000,6123000,408200,8.7439E+12,224900000
HEB,HEB600,600,300,15.5,30,27,211.9,2.323,26996,1710000000,251.7,5701000,6425000,135300000,70.8,902000,1391000,6796000,438500,1.0838E+13,254700000
HEB,HEB650,650,300,16,31,27,224.8,2.422,28634,2106000000,271.2,6480000,7320000,139800000,69.9,932300,1441000,7520000,470000,1.3219E+13,286000000
HEB,HEB700,700,300,17,32,27,240.5,2.52,30638,2569000000,289.6,7340000,8327000,144400000,68.7,962700,1495000,8417000,495100,1.59E+13,318700000
HEB,HEB800,800,300,17.5,33,30,262.3,2.713,33418,3591000000,327.8,8977000,10230000,149000000,66.8,993600,1553000,9621000,549800,2.1617E+13,377500000
HEB,HEB900,900,300,18.5,35,30,291.5,2.911,37128,4941000000,364.8,10980000,12580000,158200000,65.3,1054000,1658000,11540000,623800,2.9196E+13,451800000
HEB,HEB1000,1000,300,19,36,30,314,3.11,40005,6447000000,401.5,12890000,14860000,162800000,63.8,1085000,1716000,12720000,669500,3.734E+13,518300000
HEM,HEM100,120,106,12,20,12,41.8,0.619,5324,11430000,46.3,190400,235800,3992000,27.4,75310,116300,672800,56070,9430000000,3640000
HEM,HEM120,140,126,12.5,21,12,52.1,0.738,6641,20180000,55.1,288200,350600,7028000,32.5,111600,171600,905300,72420,23887000000,6477000
HEM,HEM140,160,146,13,22,12,63.2,0.857,8056,32910000,63.9,411400,493800,11440000,37.7,156800,240500,1186000,91230,52826000000,10620000
HEM,HEM160,180,166,14,23,15,76.2,0.97,9705,50980000,72.5,566500,674600,17590000,42.6,211900,325500,1608000,114900,1.047E+11,16290000
HEM,HEM180,200,186,14.5,24,15,88.9,1.089,11325,74830000,81.3,748300,883400,25800000,47.7,277400,425200,2014000,138900,1.943E+11,24010000
HEM,HEM200,220,206,15,25,18,103.1,1.203,13128,106400000,90,967400,1135000,36510000,52.7,354500,543200,2581000,172100,3.3687E+11,33930000
HEM,HEM220,240,226,15.5,26,18,117.3,1.322,14944,146000000,98.9,1217000,1419000,50120000,57.9,443500,678600,3136000,202300,5.5955E+11,46750000
HEM,HEM240,270,248,18,32,21,156.7,1.46,19959,242900000,110.3,1799000,2117000,81530000,63.9,657500,1006000,6272000,348400,1.1235E+12,76950000
HEM,HEM260,290,268,18,32.5,24,172.4,1.575,21964,313100000,119.4,2159000,2524000,104500000,69,779700,1192000,7223000,401300,1.684E+12,98650000
HEM,HEM280,310,288,18.5,33,24,188.5,1.694,24016,395500000,128.3,2551000,2966000,131600000,74,914100,1397000,8094000,437500,2.463E+12,124700000
HEM,HEM300,340,310,21,39,27,237.9,1.832,30308,592000000,139.8,3482000,4078000,194000000,80,1252000,1913000,14150000,673800,4.2801E+12,185400000
HEM,HEM320,359,309,21,40,27,245,1.866,31205,681300000,147.8,3796000,4435000,197100000,79.5,1276000,1951000,15100000,719000,4.89E+12,200400000
HEM,HEM340,377,309,21,40,27,247.9,1.902,31583,763700000,155.5,4052000,4718000,197100000,79,1276000,1953000,15160000,721900,5.4633E+12,211800000
HEM,HEM360,395,308,21,40,27,250.3,1.934,31881,848700000,163.2,4297000,4989000,195200000,78.3,1268000,1942000,15170000,722400,6.0093E+12,221800000
HEM,HEM400,432,307,21,40,27,255.7,2.004,32578,1041000000,178.8,4820000,5571000,193400000,77,1260000,1934000,15240000,725700,7.2688E+12,243500000
HEM,HEM450,478,307,21,40,27,263.3,2.096,33544,1315000000,198,5501000,6331000,193400000,75.9,1260000,1939000,15380000,732400,9.0923E+12,272400000
HEM,HEM500,524,306,21,40,27,270.3,2.184,34430,1619000000,216.9,6180000,7094000,191500000,74.6,1252000,1932000,15480000,737100,1.1012E+13,299300000
HEM,HEM550,572,306,21,40,27,278.2,2.28,35438,1980000000,236.4,6923000,7933000,191600000,73.5,1252000,1937000,15630000,744300,1.3323E+13,329300000
HEM,HEM600,620,305,21,40,27,285.5,2.372,36366,2374000000,255.5,7660000,8772000,189800000,72.2,1244000,1930000,15740000,749500,1.57E+13,357000000
HEM,HEM650,668,305,21,40,27,293.4,2.468,37374,2817000000,274.5,8433000,9657000,189800000,71.3,1245000,1936000,15880000,756200,1.8427E+13,386800000
HEM,HEM700,716,304,21,40,27,300.7,2.56,38302,3293000000,293.2,9198000,10540000,188000000,70.1,1237000,1929000,15990000,761400,2.1161E+13,413800000
HEM,HEM800,814,303,21,40,30,317.3,2.746,40427,4426000000,330.9,10870000,12490000,186300000,67.9,1230000,1930000,16630000,791900,2.7472E+13,470800000
HEM,HEM900,910,302,21,40,30,332.5,2.934,42363,5704000000,367,12540000,14440000,184500000,66,1222000,1929000,16890000,804300,3.4419E+13,526200000
HEM,HEM1000,1008,302,21,40,30,348.7,3.13,44421,7223000000,403.2,14330000,16570000,184600000,64.5,1222000,1940000,17190000,818600,4.2665E+13,586000000
UB,UB127x76x13,127,76,4,7.6,8,13,0.537,1652,4734000,53.5,74560,84150,557400,18.4,14670,22580,28500,7125,2000000000,881600
UB,UB152x89x16,152,89,4.5,7.7,8,16,0.638,2032,8343000,64.1,109500,123300,897500,21,20240,31180,35600,7911,4700000000,1465000
UB,UB178x102x19,178,101,4.8,7.9,8,19,0.738,2426,13560000,74.8,152500,171300,1367000,23.7,27020,41590,44100,9188,9900000000,2303000
UB,UB203x102x23,203,102,5.4,9.3,8,23.1,0.79,2940,21050000,84.6,207200,234100,1639000,23.6,32190,49750,70200,13000,15400000000,3121000
UB,UB203x133x25,203,133,5.7,7.8,8,25.1,0.915,3197,23400000,85.6,230300,257700,3076000,31,46190,70940,59600,10460,29400000000,4518000
UB,UB203x133x30,207,134,6.4,9.6,8,30,0.923,3821,28960000,87.1,280000,314400,3847000,31.7,57450,88220,103000,16090,37400000000,5666000
UB,UB254x102x22,254,102,5.7,6.8,8,22,0.89,2802,28410000,100.7,223700,259000,1193000,20.6,23490,37270,41500,7281,18200000000,2899000
UB,UB254x102x25,257,102,6,8.4,8,25.2,0.897,3204,34150000,103.2,265500,305500,1487000,21.5,29180,46010,64200,10700,23000000000,3629000
UB,UB254x102x28,260,102,6.3,10,8,28.3,0.904,3608,40050000,105.4,307600,352800,1785000,22.2,34940,54850,95700,15190,28000000000,4377000
UB,UB254x146x31,251,146,6,8.6,8,31.1,1.062,3968,44130000,105.5,351100,393100,4475000,33.6,61260,94130,85500,14250,66000000000,7442000
UB,UB254x146x37,256,146,6.3,10.9,8,37,1.072,4717,55370000,108.3,432600,483200,5706000,34.8,77960,119400,153000,24290,85700000000,9553000
UB,UB254x146x43,260,147,7.2,12.7,8,43,1.081,5477,65440000,109.3,504100,566300,6774000,35.2,91970,141100,239000,33190,1.03E+11,11330000
UB,UB305x102x25,305,102,5.8,7,8,24.8,0.992,3160,44550000,118.7,292100,342000,1229000,19.7,24200,38810,47700,8224,27300000000,3606000
UB,UB305x102x28,309,102,6,8.8,8,28.2,1,3588,53660000,122.3,347600,402900,1554000,20.8,30530,48450,74000,12330,34900000000,4573000
UB,UB305x102x33,313,102,6.6,10.8,8,32.8,1.009,4183,65010000,124.7,415800,480800,1941000,21.5,37910,60040,122000,18480,44200000000,5719000
UB,UB305x127x37,304,123,7.1,10.7,9,37,1.073,4718,71710000,123.3,471100,539400,3362000,26.7,54490,85410,148000,20850,72500000000,8002000
UB,UB305x127x42,307,124,8,12.1,9,41.9,1.08,5340,81960000,123.9,533600,613500,3888000,27,62550,98410,211000,26380,84600000000,9226000
UB,UB305x127x48,311,125,9,14,9,48.1,1.09,6123,95750000,125,615700,710700,4610000,27.4,73590,116100,318000,35330,1.02E+11,10960000
UB,UB305x165x40,303,165,6,10.2,9,40.3,1.24,5132,85030000,128.7,560500,623100,7644000,38.6,92650,141700,147000,24500,1.64E+11,13560000
UB,UB305x165x46,307,166,6.7,11.8,9,46.1,1.247,5875,98990000,129.8,645700,720000,8957000,39,108100,165500,222000,33130,1.95E+11,15970000
UB,UB305x165x54,310,167,7.9,13.7,9,54,1.257,6877,117000000,130.4,753600,846100,10630000,39.3,127400,195600,348000,44050,2.34E+11,18900000
UB,UB356x171x45,351,171,7,9.7,13,45.4,1.351,5782,122000000,145.2,694100,782600,8114000,37.5,94840,146900,169000,24140,2.37E+11,16210000
UB,UB356x171x51,355,172,7.4,11.5,13,51.3,1.359,6540,142700000,147.7,803700,904000,9686000,38.5,113000,174600,251000,33920,2.86E+11,19420000
UB,UB356x171x57,358,172,8.1,13,13,57.3,1.367,7305,161700000,148.8,903200,1018000,11090000,39,128800,199100,349000,43090,3.3E+11,22220000
UB,UB356x171x67,363,173,9.1,15.7,13,67.5,1.38,8598,195900000,151,1078000,1219000,13620000,39.8,157300,243400,577000,63410,4.12E+11,27370000
UB,UB406x140x39,398,142,6.4,8.6,13,39.4,1.329,5015,126800000,159,637200,732800,4101000,28.6,57840,91200,116000,18120,1.55E+11,11230000
UB,UB406x140x46,403,142,6.8,11.2,13,46.4,1.34,5913,158600000,163.8,786500,896800,5384000,30.2,75720,118500,202000,29710,2.07E+11,14850000
UB,UB406x140x53,407,143,7.9,12.9,13,53.7,1.349,6844,184500000,164.2,907700,1040000,6350000,30.5,88620,139300,304000,38480,2.46E+11,17440000
UB,UB406x178x54,403,178,7.7,10.9,13,54.5,1.479,6944,188900000,164.9,938600,1064000,10220000,38.4,115000,178700,243000,31560,3.92E+11,22530000
UB,UB406x178x60,406,178,7.9,12.8,13,60.5,1.487,7701,217700000,168.1,1071000,1209000,12030000,39.5,135300,209400,348000,44050,4.66E+11,26620000
UB,UB406x178x67,409,179,8.8,14.3,13,67.5,1.495,8603,245000000,168.8,1197000,1355000,13650000,39.8,152700,237000,479000,54430,5.33E+11,30180000
UB,UB406x178x74,413,180,9.5,16,13,74.6,1.503,9500,274800000,170.1,1331000,1510000,15460000,40.3,172200,267400,649000,68320,6.08E+11,34150000
UB,UB406x178x85,417,182,10.9,18.2,13,85.6,1.518,10910,318700000,170.9,1528000,1742000,18310000,41,201300,313600,957000,87800,7.29E+11,40180000
UB,UB457x152x52,450,152,7.6,10.9,13,52.7,1.472,6714,215900000,179.3,959800,1106000,6453000,31,84680,133700,226000,29740,3.11E+11,18600000
UB,UB457x152x60,455,153,8.1,13.3,13,60.2,1.483,7672,257200000,183.1,1131000,1298000,7950000,32.2,104000,163400,354000,43700,3.87E+11,22940000
UB,UB457x152x67,458,154,9,15,13,67.5,1.491,8604,291400000,184,1273000,1463000,9129000,32.6,118700,187100,496000,55110,4.48E+11,26300000
UB,UB457x152x74,462,154,9.6,17,13,74.6,1.501,9497,328900000,186.1,1424000,1637000,10470000,33.2,135600,213600,682000,71040,5.18E+11,30160000
UB,UB457x152x82,466,155,10.5,18.9,13,82.4,1.51,10503,368100000,187.2,1580000,1822000,11850000,33.6,152600,240800,920000,87620,5.92E+11,34120000
UB,UB457x191x67,453,190,8.5,12.7,13,67.5,1.628,8600,296000000,185.5,1306000,1481000,14520000,41.1,153000,237700,387000,45530,7.05E+11,33700000
UB,UB457x191x74,457,190,9,14.5,13,74.7,1.636,9512,335400000,187.8,1468000,1663000,16720000,41.9,175600,272500,536000,59560,8.18E+11,38840000
UB,UB457x191x82,460,191,9.9,16,13,82.4,1.644,10497,372700000,188.4,1620000,1842000,18710000,42.2,195600,304300,714000,72120,9.22E+11,43420000
UB,UB457x191x89,463,192,10.5,17.7,13,89.7,1.652,11426,412300000,190,1780000,2024000,20900000,42.8,217800,338800,933000,88860,1.04E+12,48640000
UB,UB457x191x98,467,193,11.4,19.6,13,98.7,1.661,12575,459400000,191.1,1967000,2243000,23480000,43.2,243500,379400,1240000,108800,1.18E+12,54690000
UB,UB457x191x106,469,194,12.6,20.6,13,106.2,1.667,13524,490900000,190.5,2093000,2399000,25150000,43.1,259300,405900,1490000,118300,1.27E+12,58370000
UB,UB457x191x133,481,197,15.3,26.3,13,133.7,1.696,17033,640600000,193.9,2666000,3080000,33500000,44.3,340700,535300,2980000,194800,1.73E+12,77440000
UB,UB457x191x161,492,199,18,32,13,161.7,1.724,20604,800000000,197,3252000,3789000,42510000,45.4,426400,672500,5240000,291100,2.25E+12,98120000
UB,UB460x280x113,463,280,10.8,17.3,20,115.1,1.99,14658,567200000,196.7,2450000,2727000,63380000,65.8,452700,694000,1320000,122200,3.15E+12,101000000
UB,UB460x280x128,467,282,12.2,19.6,20,130.4,2.003,16617,648200000,197.5,2776000,3103000,73370000,66.4,520300,798900,1890000,154900,3.67E+12,116400000
UB,UB460x280x144,472,283,13.6,22.1,20,146.6,2.014,18670,737300000,198.7,3124000,3508000,83620000,66.9,591000,908600,2660000,195600,4.23E+12,132900000
UB,UB460x280x158,476,284,15,23.9,20,159.7,2.024,20342,807600000,199.2,3393000,3828000,91420000,67,643800,992000,3370000,224700,4.67E+12,145500000
UB,UB460x280x177,482,286,16.6,26.9,20,179.3,2.04,22838,921300000,200.9,3823000,4334000,105100000,67.8,735000,1134000,4730000,284900,5.44E+12,167200000
