Cat,Profile,h,b,tw,tf,r,m,P,A,Iy,iy,Wely,Wply,Iz,iz,Welz,Wplz,IT,WT,Iw,Ww
UB,UB610x229x125,612,229,11.9,19.6,20,126.7,2.082,16139,1002000000,249.2,3274000,3733000,39350000,49.4,343700,537800,1680000,141200,3.45E+12,101700000
UB,UB610x229x140,617,230,13.1,22.1,20,141.5,2.095,18025,1134000000,250.8,3674000,4200000,45090000,50,391700,613900,2330000,177900,3.99E+12,116500000
UB,UB610x305x149,612,305,11.8,19.7,20,150,2.386,19114,1267000000,257.5,4139000,4624000,93090000,69.8,610900,938600,2080000,176300,8.18E+12,181100000
UB,UB610x305x179,620,307,14.1,23.6,20,179.9,2.406,22918,1539000000,259.1,4962000,5578000,114100000,70.6,743100,1145000,3510000,248900,1.02E+13,222700000
UB,UB610x305x238,636,311,18.4,31.4,20,239,2.446,30442,2103000000,262.9,6616000,7517000,158400000,72.1,1017000,1576000,8030000,436400,1.45E+13,308200000
UB,UB610x324x155,611,324,12.7,19,20,156.5,2.458,19932,1306000000,255.9,4273000,4784000,107800000,73.6,665700,1024000,2100000,165400,9.45E+12,197100000
UB,UB610x324x174,616,325,14,21.6,20,175.9,2.47,22403,1487000000,257.7,4829000,5418000,123800000,74.3,761600,1173000,2980000,212900,1.09E+13,225700000
UB,UB610x324x195,622,327,15.4,24.4,20,197.3,2.487,25128,1695000000,259.7,5449000,6130000,142400000,75.3,871100,1343000,4180000,271400,1.27E+13,260000000
UB,UB610x324x217,628,328,16.5,27.7,20,219.5,2.501,27962,1924000000,262.3,6126000,6903000,163200000,76.4,995000,1533000,5860000,355200,1.47E+13,298600000
UB,UB610x324x241,635,329,17.9,31,20,243.3,2.516,30998,2170000000,264.6,6835000,7726000,184300000,77.1,1121000,1728000,8020000,448000,1.68E+13,338200000
UB,UB610x324x262,641,327,19,34,20,262.7,2.518,33466,2376000000,266.4,7412000,8405000,198500000,77,1214000,1874000,10280000,541100,1.83E+13,368800000
UB,UB610x324x285,647,329,20.6,37.1,20,287,2.534,36555,2623000000,267.9,8108000,9231000,220700000,77.7,1342000,2074000,13290000,645100,2.05E+13,408700000
UB,UB610x324x307,653,330,22.1,39.9,20,308.9,2.547,39345,2852000000,269.3,8736000,9985000,239600000,78,1452000,2248000,16460000,744800,2.25E+13,444800000
UB,UB610x324x341,661,333,24.4,43.9,20,342,2.571,43567,3198000000,271,9678000,11120000,271000000,78.9,1627000,2525000,21960000,900000,2.58E+13,502200000
UB,UB610x324x372,669,335,26.4,48,20,373.9,2.591,47631,3548000000,272.9,10610000,12250000,301800000,79.6,1802000,2799000,28500000,1080000,2.91E+13,559500000
UB,UB686x254x125,678,253,11.7,16.2,20,126.3,2.31,16093,1194000000,272.4,3524000,4040000,43850000,52.2,346700,544100,1240000,106000,4.8E+12,114700000
UB,UB686x254x140,684,254,12.4,19,20,141.2,2.323,17988,1377000000,276.7,4030000,4604000,51860000,53.7,408800,639900,1790000,144400,5.72E+12,135700000
UB,UB686x254x152,688,254,13.2,21,20,153.5,2.332,19553,1518000000,278.6,4416000,5046000,57860000,54.4,454700,712000,2310000,175000,6.43E+12,151600000
UB,UB686x254x170,693,256,14.5,23.7,20,171.4,2.346,21828,1718000000,280.5,4958000,5677000,66330000,55.1,518600,813300,3220000,222100,7.43E+12,173600000
UB,UB762x267x134,750,264,12,15.5,20,134.8,2.499,17168,1521000000,297.6,4055000,4683000,47900000,52.8,362300,571300,1250000,104200,6.46E+12,133100000
UB,UB762x267x147,754,265,12.8,17.5,20,147.8,2.509,18829,1699000000,300.4,4506000,5194000,54570000,53.8,411600,648600,1660000,129700,7.4E+12,151500000
UB,UB762x267x161,758,266,13.8,19.3,20,161.2,2.518,20539,1873000000,301.9,4941000,5700000,60750000,54.4,456800,720900,2150000,155800,8.29E+12,168800000
UB,UB762x267x173,762,267,14.3,21.6,20,173.9,2.528,22147,2067000000,305.5,5422000,6236000,68520000,55.6,513800,808900,2770000,193700,9.4E+12,190400000
UB,UB762x267x185,766,267,14.9,23.6,20,185.7,2.536,23656,2241000000,307.8,5852000,6724000,75120000,56.4,562700,885200,3430000,230200,1.04E+13,209900000
UB,UB762x267x197,770,268,15.6,25.4,20,197.6,2.546,25174,2413000000,309.6,6270000,7205000,81770000,57,610200,960100,4170000,267300,1.13E+13,226600000
UB,UB838x292x176,835,292,14,18.8,20,176.4,2.774,22473,2471000000,331.6,5920000,6836000,78000000,58.9,534800,842800,2270000,162100,1.3E+13,218400000
UB,UB838x292x194,841,292,14.7,21.7,20,194.3,2.787,24754,2803000000,336.5,6668000,7668000,90680000,60.5,620200,974800,3120000,212200,1.52E+13,253900000
UB,UB838x292x210,846,293,15.4,24.4,20,211.3,2.799,26919,3117000000,340.3,7369000,8456000,102600000,61.7,700300,1099000,4130000,268200,1.73E+13,287500000
UB,UB838x292x226,851,294,16.1,26.8,20,227.1,2.81,28928,3408000000,343.2,8010000,9183000,113600000,62.7,773400,1213000,5220000,324200,1.93E+13,318800000
UB,UB914x305x201,903,303,15.1,20.2,19,200.9,2.956,25592,3253000000,356.5,7204000,8351000,94230000,60.7,621400,982000,2910000,192700,1.84E+13,274900000
UB,UB914x305x224,910,304,15.9,23.9,19,224.2,2.973,28564,3764000000,363,8269000,9535000,112400000,62.7,739000,1163000,4220000,265400,2.21E+13,327900000
UB,UB914x305x239,915,305,16.5,25.9,19,238.3,2.984,30355,4065000000,365.9,8885000,10230000,122900000,63.6,805600,1267000,5150000,312100,2.43E+13,358400000
UB,UB914x305x253,918,306,17.3,27.9,19,253.4,2.991,32283,4363000000,367.6,9501000,10940000,133000000,64.2,870800,1371000,6260000,361800,2.64E+13,388200000
UB,UB914x305x271,923,307,18.4,30,19,271.7,3.004,34612,4716000000,369.1,10220000,11780000,145200000,64.8,945800,1491000,7700000,418500,2.89E+13,421700000
UB,UB914x305x289,927,308,19.5,32,19,289.1,3.012,36827,5042000000,370,10880000,12570000,156000000,65.1,1014000,1601000,9260000,474900,3.12E+13,453400000
UB,UB914x305x313,932,309,21.1,34.5,19,312.8,3.025,39843,5483000000,371,11770000,13630000,170400000,65.4,1103000,1748000,11620000,550700,3.43E+13,494700000
UB,UB914x419x343,912,418,19.4,32,24,343.3,3.417,43730,6258000000,378.3,13730000,15480000,391600000,94.6,1871000,2890000,11930000,614900,7.58E+13,823500000
UB,UB914x419x365,916,419,20.3,34.3,24,364.8,3.428,46472,6711000000,380,14650000,16540000,422400000,95.3,2015000,3112000,14420000,710300,8.21E+13,888100000
UB,UB914x419x388,921,420,21.4,36.6,24,388,3.44,49422,7196000000,381.6,15630000,17670000,454400000,95.9,2161000,3341000,17340000,810300,8.89E+13,956200000
UB,UB1016x305x222,970,300,16,21.1,30,222,3.057,28282,4080000000,379.8,8409000,9807000,95460000,58.1,636400,1020000,3900000,243800,2.15E+13,302000000
UB,UB1016x305x249,980,300,16.5,26,30,248.7,3.076,31686,4812000000,389.7,9819000,11350000,117500000,60.9,783600,1245000,5820000,352700,2.68E+13,374500000
UB,UB1016x305x272,990,300,16.5,31,30,272.3,3.096,34686,5540000000,399.6,11190000,12830000,140000000,63.5,933600,1470000,8350000,506100,3.22E+13,447600000
UB,UB1016x305x314,1000,300,19.1,35.9,30,314.3,3.11,40039,6441000000,401.1,12880000,14850000,162300000,63.7,1082000,1713000,12640000,661800,3.77E+13,521400000
UB,UB1016x305x349,1008,302,21.1,40,30,349.4,3.13,44515,7231000000,403,14350000,16590000,184600000,64.4,1223000,1941000,17180000,814200,4.33E+13,592400000
UB,UB1016x305x393,1016,303,24.4,43.9,30,392.7,3.143,50022,8075000000,401.8,15900000,18540000,205000000,64,1353000,2168000,23300000,954900,4.84E+13,657300000
UB,UB1016x305x437,1026,305,26.9,49,30,437,3.168,55668,9103000000,404.4,17740000,20770000,234500000,64.9,1535000,2469000,31850000,1184000,5.6E+13,750700000
UB,UB1016x305x487,1036,308,30,54.1,30,486.7,3.195,61995,10220000000,406,19720000,23210000,267200000,65.7,1732000,2800000,42990000,1433000,6.44E+13,850100000
UC,UC152x152x23,152,152,5.8,6.8,8,23,0.889,2925,12500000,65.4,164000,182000,3999000,37,52550,80160,46300,7983,21200000000,3827000
UC,UC152x152x30,158,153,6.5,9.4,8,30,0.901,3826,17480000,67.6,221800,247700,5605000,38.3,73310,111600,105000,16150,30800000000,5437000
UC,UC152x152x37,162,154,8,11.5,8,37,0.912,4711,22100000,68.5,273200,308800,7062000,38.7,91480,139600,192000,24000,39900000000,6877000
UC,UC152x152x44,166,156,9.5,13.6,8,44,0.924,5609,27030000,69.4,325700,372200,8601000,39.2,110300,168700,317000,33370,49900000000,8401000
UC,UC152x152x51,170,157,11,15.7,8,51.2,0.935,6519,32270000,70.4,379200,438100,10220000,39.6,129900,199000,488000,44360,61000000000,10030000
UC,UC203x203x46,203,204,7.2,11,13,46.5,1.185,5922,46050000,88.2,453200,501700,15490000,51.1,152100,231200,233000,32360,1.43E+11,14620000
UC,UC203x203x52,206,204,7.9,12.5,13,52.4,1.192,6677,52960000,89.1,513700,571700,17780000,51.6,174100,264600,332000,42030,1.67E+11,16880000
UC,UC203x203x60,210,206,9.4,14.2,13,60.3,1.202,7686,61620000,89.5,587900,660300,20650000,51.8,200700,305800,491000,52230,1.97E+11,19600000
UC,UC203x203x71,216,206,10,17.3,13,71.4,1.215,9092,76550000,91.8,709500,803000,25380000,52.8,245900,374100,827000,82700,2.5E+11,24410000
UC,UC203x203x86,222,209,12.7,20.5,13,86.5,1.234,11013,94860000,92.8,853800,981000,31280000,53.3,299200,456700,1400000,110200,3.18E+11,30160000
UC,UC203x203x100,229,210,14.5,23.7,13,100,1.248,12734,113300000,94.3,991700,1152000,36800000,53.8,350000,535000,2140000,147600,3.86E+11,35830000
UC,UC203x203x113,235,212,16.3,26.9,13,113.8,1.264,14503,133400000,95.9,1135000,1333000,42860000,54.4,404200,618600,3110000,190800,4.64E+11,42050000
UC,UC203x203x127,241,214,18.1,30.1,13,127.9,1.28,16295,154700000,97.4,1282000,1521000,49210000,55,460100,705100,4350000,240300,5.49E+11,48590000
UC,UC254x254x73,254,255,8.6,14.2,20,74.7,1.475,9515,116400000,110.6,916400,1014000,39100000,64.1,307200,467400,661000,76860,5.63E+11,36870000
UC,UC254x254x81,256,255,9.4,15.6,20,81.7,1.479,10412,128000000,110.9,1000000,1112000,43160000,64.4,338500,515300,854000,90850,6.24E+11,40720000
UC,UC254x254x89,260,256,10.3,17.3,20,90.6,1.491,11536,145000000,112.1,1114000,1246000,48600000,64.9,379300,577500,1140000,110700,7.17E+11,46050000
UC,UC254x254x101,264,257,11.9,19.6,20,102.8,1.498,13093,166000000,112.6,1258000,1418000,55520000,65.1,432100,658800,1630000,137000,8.29E+11,52790000
UC,UC254x254x107,267,259,12.8,20.5,20,108.7,1.509,13843,177500000,113.2,1331000,1506000,59310000,65.5,458300,699500,1880000,146900,8.99E+11,56440000
UC,UC254x254x115,269,259,13.5,22.1,20,116.4,1.513,14826,191700000,113.7,1425000,1621000,64090000,65.7,494900,755300,2310000,171100,9.77E+11,61110000
UC,UC254x254x132,276,261,15.3,25.3,20,133.6,1.533,17018,227600000,115.7,1648000,1891000,75350000,66.5,576700,881100,3410000,222900,1.19E+12,72580000
UC,UC254x254x149,282,263,17.3,28.4,20,150.5,1.547,19178,261700000,116.8,1856000,2151000,86270000,67.1,656000,1004000,4790000,276900,1.39E+12,83360000
UC,UC254x254x167,289,265,19.2,31.7,20,168.7,1.566,21490,302300000,118.6,2092000,2446000,98750000,67.8,744700,1140000,6610000,344300,1.64E+12,96100000
UC,UC305x305x97,308,305,9.9,15.4,20,98,1.783,12490,225000000,134.2,1462000,1611000,73100000,76.5,478800,727700,984000,99390,1.56E+12,69880000
UC,UC305x305x107,311,306,10.9,17,20,108.1,1.79,13767,250500000,134.9,1611000,1784000,81250000,76.8,531100,807500,1300000,119300,1.76E+12,78250000
UC,UC305x305x118,314,307,12,18.7,20,119,1.8,15165,279300000,135.7,1776000,1977000,90610000,77.3,589600,897100,1710000,142500,1.98E+12,87100000
UC,UC305x305x129,318,308,13.1,20.6,20,130.8,1.807,16659,310400000,136.5,1952000,2184000,100400000,77.6,652000,992800,2240000,171000,2.22E+12,96940000
UC,UC305x305x137,320,309,13.8,21.7,20,138.1,1.816,17587,330700000,137.1,2064000,2316000,107000000,78,692300,1054000,2610000,189100,2.39E+12,103500000
UC,UC305x305x143,323,309,14,22.9,20,144.3,1.82,18376,350300000,138.1,2169000,2439000,112700000,78.3,729600,1111000,3000000,214300,2.54E+12,109600000
UC,UC305x305x158,327,311,15.8,25,20,159.2,1.833,20282,390000000,138.7,2385000,2700000,125700000,78.7,808000,1232000,3940000,249400,2.87E+12,122100000
UC,UC305x305x179,333,313,18,28.1,20,179.9,1.848,22916,448000000,139.8,2690000,3072000,143800000,79.2,918900,1404000,5580000,310000,3.34E+12,140000000
UC,UC305x305x198,340,314,19.1,31.4,20,199.3,1.865,25387,511600000,142,3010000,3459000,163000000,80.1,1037000,1583000,7580000,396900,3.88E+12,160000000
UC,UC305x305x202,341,315,20.1,31.8,20,203.7,1.867,25953,522500000,141.9,3064000,3530000,165900000,80,1053000,1611000,8000000,398000,3.97E+12,163000000
UC,UC305x305x226,348,317,22.1,35.6,20,227.9,1.885,29031,598300000,143.6,3438000,3995000,189300000,80.8,1195000,1828000,11090000,501800,4.62E+12,186600000
UC,UC305x305x240,352,318,23,37.7,20,241.2,1.898,30724,644600000,144.8,3657000,4266000,203200000,81.3,1276000,1953000,13070000,568300,5.03E+12,200700000
UC,UC305x305x253,356,319,24.4,39.6,20,254,1.905,32362,684900000,145.5,3848000,4510000,214700000,81.4,1346000,2062000,15170000,621700,5.37E+12,212800000
UC,UC305x305x283,365,322,26.8,44.1,20,284.1,1.931,36188,791300000,147.9,4332000,5124000,246400000,82.5,1530000,2345000,20840000,777600,6.36E+12,245800000
UC,UC356x368x129,356,369,10.4,17.5,20,130.1,2.13,16579,405900000,156.5,2283000,2502000,146100000,93.9,792900,1201000,1610000,154800,4.18E+12,134200000
UC,UC356x368x134,356,369,11.2,18,20,135.1,2.131,17211,418700000,156,2352000,2585000,150800000,93.6,817400,1239000,1770000,158000,4.31E+12,138200000
UC,UC356x368x147,360,370,12.3,19.8,20,148.6,2.141,18936,466500000,157,2591000,2861000,167200000,94,904000,1371000,2330000,189400,4.84E+12,153800000
UC,UC356x368x153,362,370,12.3,20.7,20,154.1,2.147,19625,489400000,157.9,2704000,2987000,175600000,94.6,947700,1437000,2610000,212200,5.11E+12,161600000
UC,UC356x368x162,364,371,13.3,21.8,20,163.1,2.151,20780,519000000,158,2851000,3162000,185600000,94.5,1001000,1518000,3070000,230800,5.43E+12,171100000
UC,UC356x368x177,368,373,14.4,23.8,20,178.2,2.164,22696,574600000,159.1,3121000,3478000,205300000,95.1,1102000,1673000,3960000,275000,6.09E+12,189800000
UC,UC356x368x179,368,374,15,23.9,20,180.7,2.168,23024,579400000,158.6,3149000,3514000,208500000,95.2,1115000,1694000,4070000,271300,6.17E+12,191800000
UC,UC356x368x196,372,374,16.4,26.2,20,197.7,2.173,25182,639900000,159.4,3440000,3861000,228600000,95.3,1223000,1858000,5310000,323800,6.83E+12,211200000
UC,UC356x368x202,375,375,16.5,27,20,203.1,2.181,25867,666100000,160.5,3556000,3994000,236900000,95.7,1265000,1922000,5760000,349100,7.16E+12,219900000
UC,UC356x406x216,375,394,17.3,27.7,20,217.4,2.257,27700,714900000,160.7,3813000,4285000,282600000,101,1434000,2178000,6520000,376900,8.52E+12,249100000
UC,UC356x406x235,381,395,18.4,30.2,20,236.2,2.27,30088,794300000,162.5,4170000,4709000,310000000,101.5,1570000,2385000,8340000,453300,9.54E+12,275500000
UC,UC356x406x262,387,398,21.1,33.3,20,263.8,2.289,33611,897600000,163.4,4639000,5283000,350200000,102.1,1760000,2678000,11340000,537400,1.1E+13,312600000
UC,UC356x406x287,394,399,22.6,36.5,20,288.2,2.304,36716,1002000000,165.2,5093000,5835000,386800000,102.6,1939000,2952000,14740000,652200,1.23E+13,345300000
UC,UC356x406x314,399,401,24.9,39.6,20,314.5,2.318,40066,1106000000,166.1,5543000,6397000,426100000,103.1,2125000,3239000,18910000,759400,1.38E+13,383000000
UC,UC356x406x340,406,403,26.6,42.9,20,341.1,2.337,43449,1229000000,168.2,6048000,7021000,468600000,103.9,2326000,3546000,23910000,898900,1.55E+13,423200000
UC,UC356x406x347,407,404,27.2,43.7,20,348.1,2.341,44346,1253000000,168.1,6157000,7162000,480900000,104.1,2381000,3632000,25320000,930900,1.59E+13,433300000
UC,UC356x406x382,416,406,29.8,48,20,383.5,2.362,48855,1417000000,170.3,6811000,7988000,536200000,104.8,2642000,4034000,33480000,1123000,1.82E+13,487300000
UC,UC356x406x393,419,407,30.6,49.2,20,394.1,2.37,50203,1470000000,171.1,7015000,8245000,553700000,105,2721000,4157000,36110000,1180000,1.89E+13,502300000
UC,UC356x406x421,425,409,32.8,52.6,20,422.8,2.386,53860,1599000000,172.3,7526000,8904000,600900000,105.6,2938000,4493000,44170000,1347000,2.08E+13,546200000
UC,UC356x406x467,437,412,35.8,58,20,468.1,2.416,59636,1833000000,175.3,8399000,10020000,678400000,106.7,3292000,5038000,59050000,1649000,2.43E+13,622800000
UC,UC356x406x509,446,416,39.1,62.7,20,510.6,2.443,65045,2049000000,177.5,9188000,11060000,754100000,107.7,3626000,5556000,75140000,1922000,2.77E+13,694900000
UC,UC356x406x551,456,418,42.1,67.5,20,552.2,2.467,70338,2273000000,179.8,9977000,12100000,826800000,108.4,3951000,6062000,93810000,2228000,3.11E+13,765900000
UC,UC356x406x592,465,421,45,72.3,20,593.8,2.49,75638,2505000000,182,10770000,13160000,901800000,109.2,4284000,6579000,115300000,2562000,3.48E+13,842000000
UC,UC356x406x634,475,424,47.6,77,20,635.1,2.516,80900,2752000000,184.4,11600000,14260000,981400000,110.1,4629000,7113000,139200000,2924000,3.88E+13,920600000
UBP,UBP203x203x45,200,206,9.5,9.5,10,44.9,1.187,5723,41000000,84.6,409600,458900,13840000,49.2,134400,206100,192000,20210,1.26E+11,12840000
UBP,UBP203x203x54,204,208,11.3,11.4,10,53.9,1.199,6872,50270000,85.5,492800,556700,17050000,49.8,164200,252400,327000,28940,1.58E+11,15800000
UBP,UBP254x254x63,247,257,10.6,10.7,20,64.6,1.465,8227,90970000,105.2,736300,821300,30190000,60.6,235300,362000,411000,38770,4.22E+11,27830000
UBP,UBP254x254x71,250,258,12,12,20,72.6,1.473,9244,103100000,105.6,825600,926000,34420000,61,266800,411100,565000,47080,4.86E+11,31700000
UBP,UBP254x254x85,254,260,14.4,14.3,20,86.7,1.487,11041,125200000,106.5,984700,1114000,42190000,61.8,324000,500500,926000,64310,6.08E+11,38910000
UBP,UBP305x305x79,299,306,11,11.1,20,80,1.768,10194,167000000,128,1116000,1237000,53290000,72.3,347800,532800,522000,47450,1.11E+12,50280000
UBP,UBP305x305x88,302,308,12.4,12.3,20,89.1,1.775,11351,186800000,128.3,1238000,1380000,59870000,72.6,389000,597000,703000,56690,1.25E+12,56130000
UBP,UBP305x305x95,304,309,13.3,13.3,20,96.1,1.781,12240,203000000,128.8,1337000,1494000,65310000,73,423100,649800,869000,65340,1.38E+12,61580000
UBP,UBP305x305x110,308,311,15.3,15.4,20,111.1,1.794,14153,238200000,129.7,1547000,1739000,77120000,73.8,496400,763700,1310000,85620,1.65E+12,72620000
UBP,UBP305x305x126,312,313,17.5,17.6,20,127.2,1.807,16207,276600000,130.6,1772000,2005000,90050000,74.5,575600,887300,1930000,110300,1.96E+12,85020000
UBP,UBP305x305x149,318,316,20.6,20.7,20,150.2,1.825,19134,333200000,132,2092000,2389000,109100000,75.5,690800,1068000,3100000,150500,2.42E+12,102900000
UBP,UBP305x305x186,328,321,25.5,25.6,2,184.5,1.886,23500,422500000,134.1,2574000,2977000,141400000,77.6,881100,1363000,5200000,203900,3.24E+12,133400000
UBP,UBP305x305x223,338,326,30.3,30.4,20,224.1,1.884,28542,529500000,136.2,3134000,3672000,175800000,78.5,1080000,1683000,9770000,322400,4.16E+12,166100000
UBP,UBP356x368x109,346,371,12.8,12.9,20,110,2.117,14019,309800000,148.7,1789000,1979000,109900000,88.5,592400,904600,912000,71250,3.06E+12,98930000
UBP,UBP356x368x133,352,374,15.6,15.7,20,134.1,2.134,17082,383300000,149.8,2178000,2428000,136800000,89.5,732100,1121000,1600000,102600,3.87E+12,123100000
UBP,UBP356x368x152,356,376,17.8,17.9,20,153.2,2.147,19511,443200000,150.7,2487000,2789000,158800000,90.2,844700,1295000,2350000,132000,4.55E+12,143000000
UBP,UBP356x368x174,361,378,20.3,20.4,20,175,2.162,22294,513500000,151.8,2842000,3208000,184700000,91,975800,1499000,3450000,170000,5.37E+12,166400000
